timestamp,data
733.42,q:0.651:0.048:0.041:0.757,gq:0.651:0.048:0.041:0.757,a:-0.133:9.574:1.176,la:0.000:0.000:-0.004,g:0.000:0.002:0.002,m:-28.438:-153.938:-142.250,grav:0.000:0.000:0.000,steps:0,stab:Unknown
734.06,q:0.655:0.048:0.041:0.753,gq:0.655:0.048:0.041:0.753,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.002:-0.002,m:-28.125:-153.625:-143.000,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
734.70,q:0.658:0.048:0.041:0.750,gq:0.658:0.048:0.041:0.750,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:-0.004:0.002:0.000,m:-26.250:-153.000:-140.250,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
735.34,q:0.660:0.048:0.042:0.749,gq:0.659:0.048:0.042:0.749,a:-0.133:9.574:1.176,la:-0.008:0.000:-0.004,g:0.002:-0.002:0.000,m:-27.750:-152.938:-143.875,grav:-0.164:9.570:1.180,steps:0,stab:Unknown
735.96,q:0.660:0.048:0.042:0.748,gq:0.660:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.031:0.000:-0.004,g:0.000:-0.002:0.000,m:-27.750:-152.938:-143.875,grav:-0.164:9.570:1.180,steps:0,stab:Stable
736.61,q:0.660:0.048:0.042:0.748,gq:0.660:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.002:-0.004:0.000,m:-27.375:-153.625:-143.125,grav:-0.164:9.570:1.180,steps:0,stab:On Table
737.36,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-27.688:-153.500:-141.125,grav:-0.164:9.570:1.180,steps:0,stab:On Table
737.99,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:-0.002,m:-27.688:-153.188:-141.938,grav:-0.164:9.570:1.180,steps:0,stab:On Table
738.67,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:0.035,g:0.000:0.000:0.000,m:-28.125:-153.313:-144.313,grav:-0.164:9.570:1.180,steps:0,stab:On Table
739.31,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.031:0.000:-0.004,g:0.000:0.000:0.000,m:-27.750:-153.625:-143.125,grav:-0.156:9.570:1.180,steps:0,stab:On Table
739.96,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:0.023:0.000:-0.004,g:0.000:0.000:0.000,m:-28.438:-153.500:-140.375,grav:-0.156:9.570:1.180,steps:0,stab:On Table
740.71,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.133:9.574:1.176,la:0.023:0.000:-0.004,g:0.000:0.000:0.000,m:-28.063:-152.500:-143.500,grav:-0.156:9.570:1.180,steps:0,stab:On Table
741.35,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.574:1.215,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-28.500:-153.688:-143.563,grav:-0.156:9.570:1.180,steps:0,stab:On Table
741.99,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.016:0.000:-0.004,g:0.000:0.000:0.000,m:-28.438:-153.625:-142.375,grav:-0.156:9.570:1.180,steps:0,stab:On Table
742.62,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.133:9.574:1.176,la:-0.016:0.000:-0.004,g:0.004:0.002:-0.004,m:-28.063:-151.813:-143.875,grav:-0.156:9.570:1.180,steps:0,stab:On Table
743.26,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.002:0.002,m:-28.438:-152.938:-143.938,grav:-0.156:9.570:1.180,steps:0,stab:On Table
744.00,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.000:0.000,m:-27.063:-153.313:-144.750,grav:-0.164:9.570:1.180,steps:0,stab:On Table
744.63,q:0.661:0.048:0.042:0.748,gq:0.661:0.048:0.042:0.748,a:-0.172:9.570:1.176,la:-0.008:0.000:-0.004,g:0.000:0.000:0.000,m:-27.000:-153.438:-140.813,grav:-0.234:9.523:1.188,steps:0,stab:On Table
745.27,q:0.659:0.056:0.034:0.749,gq:0.654:0.085:0.007:0.752,a:-0.633:9.879:1.293,la:0.707:-0.051:-0.156,g:-0.012:0.016:-0.141,m:-27.750:-153.750:-144.813,grav:-1.141:9.445:1.258,steps:0,stab:On Table
745.91,q:0.647:0.113:-0.020:0.753,gq:0.647:0.114:-0.021:0.753,a:-1.129:9.570:1.254,la:-0.184:-0.027:-0.012,g:-0.012:0.014:-0.152,m:-23.500:-155.125:-145.563,grav:-1.875:9.359:1.305,steps:0,stab:On Table
746.55,q:0.639:0.146:-0.051:0.754,gq:0.647:0.116:-0.023:0.754,a:-2.969:9.035:1.367,la:-0.070:0.000:0.047,g:-0.010:0.004:-0.135,m:-17.188:-159.875:-145.750,grav:-1.945:9.344:1.313,steps:0,stab:On Table
747.30,q:0.638:0.148:-0.054:0.754,gq:0.638:0.149:-0.054:0.754,a:-2.930:9.035:1.332,la:-0.066:-0.027:0.031,g:-0.018:0.020:-0.164,m:-14.750:-160.563:-145.750,grav:-2.961:9.063:1.367,steps:0,stab:On Table
747.94,q:0.625:0.190:-0.094:0.751,gq:0.625:0.190:-0.094:0.751,a:-4.656:8.309:1.445,la:-0.180:-0.090:0.000,g:-0.010:0.018:-0.158,m:-9.688:-159.000:-147.563,grav:-4.445:8.414:1.445,steps:0,stab:On Table
748.57,q:0.614:0.220:-0.122:0.748,gq:0.615:0.218:-0.121:0.749,a:-4.730:8.230:1.445,la:-0.168:-0.121:0.000,g:-0.008:0.016:-0.143,m:-10.063:-159.438:-148.813,grav:-5.414:7.813:1.453,steps:0,stab:On Table
749.21,q:0.587:0.282:-0.184:0.736,gq:0.586:0.283:-0.184:0.736,a:-6.109:7.273:1.445,la:0.004:0.020:0.023,g:-0.012:0.008:-0.143,m:-6.813:-160.000:-147.188,grav:-5.477:7.766:1.461,steps:0,stab:On Table
749.85,q:0.570:0.314:-0.215:0.728,gq:0.570:0.315:-0.216:0.728,a:-6.801:6.660:1.484,la:0.051:-0.012:-0.023,g:-0.012:0.014:-0.152,m:0.063:-157.500:-147.250,grav:-6.188:7.211:1.461,steps:0,stab:On Table
750.60,q:0.551:0.347:-0.248:0.717,gq:0.570:0.314:-0.215:0.728,a:-7.445:5.895:1.484,la:0.020:0.027:0.031,g:-0.010:0.016:-0.133,m:5.125:-157.375:-148.000,grav:-6.680:6.766:1.469,steps:0,stab:On Table
751.24,q:0.550:0.350:-0.250:0.716,gq:0.550:0.350:-0.251:0.716,a:-8.023:5.090:1.445,la:-0.004:-0.043:0.000,g:-0.012:0.016:-0.146,m:8.500:-153.063:-147.188,grav:-7.539:5.781:1.461,steps:0,stab:On Table
751.87,q:0.530:0.381:-0.282:0.704,gq:0.531:0.379:-0.280:0.704,a:-8.484:4.359:1.406,la:0.043:-0.020:0.008,g:-0.014:0.016:-0.129,m:8.125:-153.875:-147.313,grav:-8.430:4.398:1.398,steps:0,stab:On Table
752.56,q:0.490:0.435:-0.336:0.676,gq:0.490:0.435:-0.337:0.676,a:-8.488:4.246:1.406,la:-0.016:-0.020:0.008,g:-0.002:0.014:-0.123,m:12.813:-153.000:-148.313,grav:-8.867:3.461:1.359,steps:0,stab:On Table
753.20,q:0.470:0.460:-0.362:0.661,gq:0.488:0.437:-0.339:0.675,a:-9.215:2.563:1.293,la:-0.004:-0.035:-0.012,g:-0.014:0.018:-0.158,m:17.563:-147.625:-148.313,grav:-8.891:3.406:1.352,steps:0,stab:On Table
753.94,q:0.468:0.462:-0.365:0.659,gq:0.467:0.463:-0.365:0.659,a:-9.172:2.523:1.367,la:-0.082:-0.059:-0.020,g:-0.012:0.014:-0.141,m:21.188:-146.250:-146.188,grav:-9.172:2.539:1.305,steps:0,stab:On Table
754.58,q:0.438:0.495:-0.398:0.636,gq:0.438:0.495:-0.399:0.636,a:-9.516:0.645:1.215,la:0.012:-0.004:0.043,g:-0.008:0.016:-0.131,m:24.375:-140.188:-141.000,grav:-9.523:0.680:1.172,steps:0,stab:On Table
755.21,q:0.414:0.518:-0.424:0.617,gq:0.415:0.517:-0.422:0.618,a:-9.516:-0.352:1.102,la:0.059:-0.047:-0.023,g:-0.016:0.014:-0.156,m:27.000:-135.938:-141.063,grav:-9.563:-0.156:1.109,steps:0,stab:On Table
755.85,q:0.363:0.562:-0.471:0.574,gq:0.363:0.563:-0.472:0.574,a:-9.520:-1.195:1.023,la:-0.012:0.047:0.023,g:-0.012:0.016:-0.135,m:27.750:-135.563:-142.188,grav:-9.555:-0.258:1.094,steps:0,stab:On Table
756.48,q:0.363:0.562:-0.471:0.574,gq:0.363:0.563:-0.472:0.574,a:-9.367:-2.152:0.910,la:-0.008:-0.051:0.012,g:-0.020:0.016:-0.150,m:30.438:-130.875:-140.688,grav:-9.523:-1.031:1.016,steps:0,stab:On Table
757.22,q:0.333:0.586:-0.497:0.548,gq:0.334:0.584:-0.495:0.549,a:-9.027:-3.184:0.758,la:0.047:-0.020:-0.031,g:-0.010:0.016:-0.133,m:32.125:-124.250:-138.250,grav:-9.086:-3.125:0.797,steps:0,stab:On Table
757.86,q:0.274:0.624:-0.540:0.495,gq:0.274:0.624:-0.540:0.494,a:-8.672:-4.105:0.680,la:-0.012:0.012:0.051,g:-0.012:0.018:-0.154,m:32.813:-124.688:-139.000,grav:-8.773:-3.961:0.695,steps:0,stab:On Table
758.50,q:0.240:0.643:-0.562:0.463,gq:0.239:0.643:-0.562:0.462,a:-8.293:-4.949:0.566,la:0.012:0.004:0.023,g:-0.018:0.016:-0.170,m:33.000:-120.375:-136.750,grav:-8.727:-4.063:0.688,steps:0,stab:On Table
759.13,q:0.237:0.644:-0.563:0.460,gq:0.236:0.644:-0.564:0.460,a:-8.328:-4.949:0.602,la:0.055:-0.109:-0.020,g:-0.008:0.014:-0.156,m:34.750:-111.875:-133.438,grav:-8.242:-5.023:0.570,steps:0,stab:On Table
759.76,q:0.207:0.658:-0.582:0.431,gq:0.209:0.657:-0.580:0.433,a:-7.719:-5.828:0.488,la:-0.008:-0.070:-0.012,g:-0.018:0.016:-0.162,m:34.563:-106.438:-131.500,grav:-7.266:-6.398:0.375,steps:0,stab:On Table
760.50,q:0.177:0.671:-0.597:0.402,gq:0.138:0.686:-0.616:0.362,a:-6.418:-7.359:0.219,la:0.059:-0.051:0.008,g:-0.008:0.014:-0.143,m:35.313:-104.938:-132.250,grav:-7.203:-6.469:0.359,steps:0,stab:On Table
761.14,q:0.105:0.695:-0.630:0.329,gq:0.135:0.687:-0.617:0.360,a:-5.652:-8.008:0.105,la:0.051:0.023:0.004,g:-0.010:0.018:-0.146,m:33.500:-95.813:-129.750,grav:-6.336:-7.352:0.195,steps:0,stab:On Table
761.77,q:0.102:0.696:-0.631:0.326,gq:0.102:0.696:-0.631:0.326,a:-4.770:-8.508:-0.012,la:-0.020:-0.004:-0.020,g:-0.014:0.010:-0.145,m:32.188:-94.438:-125.625,grav:-4.820:-8.469:-0.008,steps:0,stab:On Table
762.40,q:0.065:0.705:-0.645:0.288,gq:0.034:0.711:-0.654:0.255,a:-4.848:-8.391:-0.012,la:-0.012:-0.023:0.012,g:-0.018:0.008:-0.158,m:32.188:-92.250:-127.125,grav:-3.938:-8.945:-0.125,steps:0,stab:On Table
763.04,q:0.005:0.715:-0.663:0.223,gq:0.031:0.711:-0.655:0.252,a:-3.852:-8.969:-0.086,la:0.133:-0.059:0.016,g:-0.016:0.016:-0.168,m:29.125:-88.063:-124.125,grav:-3.859:-8.992:-0.141,steps:0,stab:On Table
763.79,q:-0.037:0.718:-0.671:0.178,gq:0.001:0.715:-0.663:0.219,a:-1.703:-9.656:-0.355,la:0.277:-0.059:-0.035,g:-0.012:0.020:-0.156,m:25.750:-82.688:-121.875,grav:-2.977:-9.313:-0.242,steps:0,stab:On Table
764.42,q:-0.039:0.719:-0.672:0.175,gq:-0.039:0.719:-0.672:0.175,a:-0.824:-9.777:-0.469,la:0.012:0.008:-0.031,g:-0.016:0.016:-0.164,m:22.313:-80.000:-118.188,grav:-1.992:-9.602:-0.336,steps:0,stab:On Table
765.05,q:-0.077:0.719:-0.678:0.133,gq:-0.075:0.719:-0.678:0.135,a:-0.785:-9.777:-0.430,la:-0.035:0.016:0.016,g:-0.014:0.012:-0.168,m:23.000:-78.375:-122.063,grav:0.219:-9.836:-0.531,steps:0,stab:On Table
765.73,q:-0.146:0.714:-0.682:0.056,gq:-0.114:0.717:-0.682:0.092,a:1.359:-9.738:-0.660,la:0.016:-0.016:0.012,g:-0.014:0.021:-0.170,m:16.500:-73.750:-117.125,grav:0.297:-9.836:-0.539,steps:0,stab:On Table
766.37,q:-0.149:0.714:-0.683:0.053,gq:-0.150:0.713:-0.683:0.052,a:2.469:-9.578:-0.699,la:0.070:-0.027:-0.004,g:-0.012:0.018:-0.184,m:13.000:-72.563:-115.125,grav:2.367:-9.563:-0.688,steps:0,stab:On Table
766.99,q:-0.185:0.708:-0.682:0.011,gq:-0.185:0.707:-0.682:0.010,a:3.391:-9.238:-0.699,la:0.215:0.141:0.012,g:-0.012:0.008:-0.174,m:14.313:-74.250:-118.000,grav:3.414:-9.250:-0.742,steps:0,stab:On Table
767.74,q:0.259:-0.688:0.674:0.077,gq:0.219:-0.700:0.679:0.029,a:3.352:-9.160:-0.777,la:0.008:0.004:0.051,g:-0.008:0.020:-0.164,m:8.000:-71.563:-114.000,grav:3.492:-9.227:-0.742,steps:0,stab:On Table
768.38,q:0.289:-0.677:0.668:0.114,gq:0.262:-0.686:0.673:0.081,a:5.535:-8.207:-0.777,la:0.043:0.016:-0.031,g:-0.018:0.018:-0.178,m:-0.625:-69.250:-115.188,grav:4.656:-8.711:-0.789,steps:0,stab:On Table
769.02,q:0.292:-0.675:0.667:0.118,gq:0.292:-0.675:0.667:0.118,a:6.723:-7.137:-0.660,la:0.012:0.203:0.176,g:-0.018:0.025:-0.172,m:-5.688:-71.875:-112.688,grav:6.664:-7.383:-0.836,steps:0,stab:On Table
769.65,q:0.339:-0.654:0.650:0.190,gq:0.335:-0.655:0.651:0.185,a:7.563:-6.020:-0.777,la:0.156:0.387:0.082,g:-0.033:0.031:-0.318,m:-11.125:-72.125:-113.938,grav:7.656:-6.234:-0.852,steps:0,stab:On Table
770.29,q:0.382:-0.629:0.638:0.228,gq:0.406:-0.613:0.625:0.262,a:7.680:-5.980:-0.738,la:0.082:0.012:-0.023,g:-0.014:0.014:-0.174,m:-13.188:-71.875:-114.375,grav:7.703:-6.148:-0.836,steps:0,stab:On Table
771.03,q:0.436:-0.590:0.608:0.304,gq:0.408:-0.611:0.624:0.265,a:8.793:-4.488:-0.738,la:-0.027:-0.020:0.035,g:-0.006:0.014:-0.182,m:-19.563:-77.875:-116.500,grav:8.266:-5.453:-0.789,steps:0,stab:On Table
771.66,q:0.438:-0.588:0.606:0.307,gq:0.438:-0.588:0.606:0.307,a:9.215:-3.492:-0.738,la:0.000:0.078:-0.004,g:0.006:0.012:-0.174,m:-22.750:-78.563:-114.188,grav:9.203:-3.602:-0.742,steps:0,stab:On Table
772.29,q:0.462:-0.568:0.592:0.337,gq:0.461:-0.569:0.593:0.335,a:9.520:-2.609:-0.699,la:0.008:0.008:0.027,g:-0.006:0.014:-0.129,m:-24.188:-76.938:-117.688,grav:9.531:-2.594:-0.688,steps:0,stab:On Table
772.92,q:0.508:-0.521:0.555:0.403,gq:0.486:-0.546:0.573:0.371,a:9.559:-2.535:-0.660,la:-0.047:-0.027:-0.012,g:-0.020:0.016:-0.146,m:-29.875:-84.688:-118.250,grav:9.555:-2.523:-0.680,steps:0,stab:On Table
773.56,q:0.507:-0.523:0.556:0.400,gq:0.507:-0.523:0.555:0.401,a:9.750:-1.613:-0.621,la:0.012:0.023:0.055,g:-0.010:0.018:-0.176,m:-31.813:-89.563:-117.000,grav:9.852:-0.711:-0.563,steps:0,stab:On Table
774.29,q:0.529:-0.497:0.533:0.434,gq:0.528:-0.498:0.535:0.432,a:9.824:0.492:-0.469,la:0.012:0.027:-0.031,g:-0.010:0.014:-0.143,m:-34.938:-95.500:-119.875,grav:9.852:0.438:-0.453,steps:0,stab:On Table
774.93,q:0.550:-0.469:0.510:0.466,gq:0.569:-0.440:0.486:0.496,a:9.750:1.375:-0.355,la:0.000:-0.016:0.004,g:-0.012:0.014:-0.152,m:-35.625:-94.438:-120.563,grav:9.852:0.516:-0.445,steps:0,stab:On Table
775.57,q:0.570:-0.438:0.484:0.498,gq:0.571:-0.438:0.484:0.498,a:9.555:2.371:-0.277,la:0.004:0.027:0.004,g:-0.012:0.016:-0.154,m:-38.688:-100.000:-123.813,grav:9.734:1.500:-0.359,steps:0,stab:On Table
776.20,q:0.588:-0.409:0.459:0.526,gq:0.588:-0.408:0.458:0.527,a:9.555:2.445:-0.238,la:-0.012:-0.008:-0.012,g:-0.010:0.016:-0.141,m:-40.688:-104.688:-124.500,grav:9.281:3.242:-0.172,steps:0,stab:On Table
776.83,q:0.602:-0.380:0.435:0.551,gq:0.615:-0.352:0.410:0.574,a:9.250:3.328:-0.164,la:0.008:-0.016:0.008,g:-0.014:0.018:-0.158,m:-40.688:-104.313:-124.875,grav:8.891:4.125:-0.063,steps:0,stab:On Table
777.58,q:0.630:-0.316:0.378:0.601,gq:0.630:-0.315:0.378:0.601,a:8.332:5.090:-0.012,la:0.027:-0.012:-0.035,g:-0.016:0.014:-0.152,m:-41.125:-108.813:-123.938,grav:8.359:5.102:0.063,steps:0,stab:On Table
778.23,q:0.640:-0.285:0.350:0.622,gq:0.631:-0.313:0.375:0.603,a:8.293:5.129:0.066,la:-0.047:0.027:0.016,g:-0.012:0.014:-0.141,m:-43.000:-119.688:-129.438,grav:8.320:5.164:0.070,steps:0,stab:On Table
778.91,q:0.650:-0.249:0.319:0.643,gq:0.641:-0.282:0.348:0.624,a:7.797:5.895:0.145,la:-0.051:-0.059:0.008,g:-0.012:0.016:-0.145,m:-42.750:-122.438:-131.188,grav:7.773:5.922:0.172,steps:0,stab:On Table
779.54,q:0.650:-0.247:0.317:0.645,gq:0.650:-0.249:0.318:0.644,a:7.102:6.660:0.297,la:-0.027:0.004:0.000,g:-0.014:0.014:-0.141,m:-42.875:-126.250:-131.000,grav:6.539:7.219:0.406,steps:0,stab:On Table
780.17,q:0.662:-0.187:0.262:0.677,gq:0.662:-0.186:0.261:0.677,a:5.840:7.695:0.488,la:0.043:-0.078:-0.027,g:-0.014:0.016:-0.160,m:-41.188:-128.938:-132.750,grav:6.477:7.273:0.406,steps:0,stab:On Table
780.91,q:0.662:-0.184:0.259:0.679,gq:0.662:-0.183:0.259:0.679,a:5.805:7.809:0.527,la:0.031:-0.004:0.012,g:-0.014:0.018:-0.164,m:-39.313:-135.125:-135.938,grav:5.734:7.836:0.523,steps:0,stab:On Table
781.54,q:0.667:-0.146:0.224:0.695,gq:0.667:-0.148:0.226:0.695,a:4.156:8.691:0.680,la:-0.031:0.016:-0.047,g:-0.018:0.014:-0.148,m:-37.250:-139.563:-135.688,grav:4.156:8.742:0.742,steps:0,stab:On Table
782.17,q:0.669:-0.116:0.196:0.707,gq:0.671:-0.084:0.167:0.718,a:3.313:9.031:0.793,la:0.008:0.012:0.012,g:-0.012:0.014:-0.131,m:-38.000:-140.000:-136.563,grav:4.094:8.758:0.742,steps:0,stab:On Table
782.81,q:0.671:-0.082:0.165:0.719,gq:0.671:-0.082:0.164:0.719,a:2.469:9.336:0.910,la:-0.023:0.035:-0.004,g:-0.018:0.010:-0.129,m:-33.813:-144.063:-137.500,grav:3.250:9.102:0.828,steps:0,stab:On Table
783.44,q:0.670:-0.049:0.134:0.728,gq:0.670:-0.051:0.136:0.728,a:1.629:9.492:1.023,la:0.012:0.020:0.027,g:-0.010:0.006:-0.129,m:-31.438:-146.375:-139.250,grav:1.656:9.469:1.008,steps:0,stab:On Table
784.17,q:0.669:-0.018:0.105:0.736,gq:0.665:0.017:0.071:0.743,a:1.551:9.496:1.023,la:0.027:-0.047:-0.031,g:-0.008:0.018:-0.145,m:-31.500:-148.688:-139.750,grav:1.586:9.477:1.016,steps:0,stab:On Table
784.80,q:0.665:0.019:0.069:0.743,gq:0.665:0.020:0.069:0.743,a:0.555:9.531:1.102,la:0.000:-0.008:0.004,g:-0.012:0.014:-0.148,m:-25.500:-152.625:-140.750,grav:0.570:9.578:1.102,steps:0,stab:On Table
785.44,q:0.660:0.053:0.037:0.748,gq:0.661:0.051:0.039:0.748,a:-0.363:9.609:1.176,la:-0.074:0.039:-0.004,g:-0.002:-0.016:0.045,m:-23.813:-155.000:-142.813,grav:-0.828:9.578:1.227,steps:0,stab:On Table
786.07,q:0.657:0.071:0.019:0.750,gq:0.657:0.071:0.019:0.750,a:-0.707:9.492:1.176,la:0.137:-0.082:-0.051,g:0.000:0.006:-0.012,m:-24.563:-154.750:-144.438,grav:-0.844:9.578:1.227,steps:0,stab:On Table
786.71,q:0.657:0.072:0.018:0.750,gq:0.657:0.071:0.019:0.750,a:-0.824:9.531:1.215,la:-0.074:0.086:0.035,g:-0.002:0.000:0.000,m:-23.875:-155.125:-144.813,grav:-0.820:9.531:1.227,steps:0,stab:On Table
787.44,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.746:9.457:1.215,la:0.004:-0.027:-0.004,g:0.002:0.006:-0.004,m:-24.938:-157.188:-141.000,grav:-0.828:9.523:1.219,steps:0,stab:On Table
788.07,q:0.657:0.072:0.018:0.750,gq:0.657:0.072:0.018:0.750,a:-0.824:9.531:1.215,la:-0.035:0.008:-0.004,g:0.004:0.002:0.002,m:-24.188:-154.313:-143.938,grav:-0.820:9.523:1.227,steps:0,stab:On Table
788.71,q:0.657:0.072:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:-0.012:0.008:-0.004,g:-0.002:0.002:0.000,m:-24.188:-154.250:-143.188,grav:-0.820:9.531:1.227,steps:0,stab:On Table
789.35,q:0.657:0.072:0.018:0.750,gq:0.657:0.072:0.018:0.750,a:-0.824:9.531:1.215,la:-0.004:0.000:-0.012,g:-0.002:-0.002:0.002,m:-24.250:-156.500:-142.563,grav:-0.820:9.531:1.227,steps:0,stab:On Table
789.98,q:0.657:0.073:0.018:0.750,gq:0.657:0.073:0.018:0.750,a:-0.824:9.531:1.215,la:0.004:0.008:-0.012,g:0.000:-0.002:0.000,m:-24.188:-155.000:-142.813,grav:-0.820:9.531:1.227,steps:0,stab:On Table
